Response ID,Are you a professional software engineer?,Are you involved in open source software development efforts?,Software Development:Which of the following roles best describe your software engineering experience?,Software Testing:Which of the following roles best describe your software engineering experience?,Project Management:Which of the following roles best describe your software engineering experience?,Other:Which of the following roles best describe your software engineering experience?,Other:Which of the following roles best describe your software engineering experience?,How many years of experience do you have in software development/testing/project management (decimals OK)?,Please describe your English proficiency level?,What is your current country of residence?,"Automated debugging has been an active area of research. An automated debugging approach takes as input a crash or a test case failure and generates a ranked list of suspicious program locations that may contain the root cause of the crash/failure. In your opinion, how important is this piece of research?",Why do you think this research is unimportant or unwise?,"Mathematical specification (e.g., temporal logic, Z ) of a program:When you start debugging, are the following resources available at your disposal?","Textual specification of a program:When you start debugging, are the following resources available at your disposal?","One test case/scenario that causes a failure/crash:When you start debugging, are the following resources available at your disposal?","Multiple test cases/scenarios that cause a failure/crash:When you start debugging, are the following resources available at your disposal?","A set of successful test cases that do not cause any failure:When you start debugging, are the following resources available at your disposal?","A textual description of a defect (e.g., a bug report):When you start debugging, are the following resources available at your disposal?",Pinpoint buggy component:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,Pinpoint buggy class:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,Pinpoint buggy method:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,Pinpoint buggy basic block:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,Pinpoint buggy statement:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,"An automated debugging tool returns a ranked list of suspicious program locations (at your preferred granularity level) and one of them may contain the bug location. What is the minimum acceptable level before you consider the tool to successfully locate buggy code? E.g., if you only consider the tool to be successful only if a bug appears in the top 5 elements, please select ""Top 5"".","Other:An automated debugging tool returns a ranked list of suspicious program locations (at your preferred granularity level) and one of them may contain the bug location. What is the minimum acceptable level before you consider the tool to successfully locate buggy code? E.g., if you only consider the tool to be successful only if a bug appears in the top 5 elements, please select ""Top 5"".","How trustworthy an automated debugging tool must be before you will consider adoption? E.g., if you want the tool to successfully locate bugs (based on your success criterion defined in the previous question) at least 50% of the time, please select ""At least 50%"".","Other:How trustworthy an automated debugging tool must be before you will consider adoption? E.g., if you want the tool to successfully locate bugs (based on your success criterion defined in the previous question) at least 50% of the time, please select ""At least 50%"".",How scalable a trustworthy automated debugging tool must be before you will consider adoption? It should work at least for programs of size:,Other:How scalable a trustworthy automated debugging tool must be before you will consider adoption? It should work at least for programs of size:,"How efficient a trustworthy and scalable automated debugging tool must be before you will consider adoption? E.g., if you want the tool to produce results at most within 1 minute, select ""","Other:How efficient a trustworthy and scalable automated debugging tool must be before you will consider adoption? E.g., if you want the tool to produce results at most within 1 minute, select ""","Assume you have an efficient, scalable, and trustworthy automated debugging tool, will you adopt it?","Why won't you adopt an efficient, scalable, and trustworthy automated debugging tool?",An automated debugging tool must provide a rationale why some program locations are marked as suspicious.:How agreeable are you with the following statements:,"I will still adopt an efficient, scalable, and trustworthy automated debugging tool, even if it cannot provide rationales:How agreeable are you with the following statements:  ",An automated debugging tool must be integrated well to my favourite IDE.:How agreeable are you with the following statements:  ,"I will *still adopt* a an efficient, scalable, and trustworthy automated debugging tool, even if it is not integrated well to my favorite IDE. :How agreeable are you with the following statements:  ",Why the ability to provide rationales is very important in your decision to adopt an automated debugging tool?,Why integration to your favourite IDE is very important in your decision to adopt an automated debugging tool?,Do you have final suggestions/comments/opinions about automated debugging or this survey?
63,Yes,Yes,Software Development,,Project Management,,,8,Good,Russia,2,,Rarely,All the time,Sometimes,Sometimes,All the time,Rarely,1,2,,,,1,,At least 20%,,"1 - 10,000 Lines of Code",,&lt; a day,,Yes,,Agree,Neutral,Strongly Disagree,Strongly Agree,,,"I understood ""provides rationale"" as ""one must at least vaguely understand how tool works, and why it gives the results it does"" (incl. where and why it might have biases), i.e. if it's some magical ""look over there"" box, I'd not likely to ever look at it, maybe unless it's very-very precise and efficient.  Also note that failure without any reason in a component I'd consider worth debugging (e.g. linux kernel panics mostly known and easier to update/patch/work-around) are very rare - you always develop thing with having lots of state/logs/tracebacks on failures in mind. "
64,Yes,Yes,Software Development,,,,,7,Good,Netherlands,4,"My opinion is scoped by the web development , but still: different frameworks, different technologies and for each one you'll need to adapt your potential tool to solve specific bugs. And even if you will succeed, I don't think personally I would pay for it, because for my cases usual stack trace is over than enough.",Never,Rarely,All the time,All the time,Rarely,All the time,,,,,5,2,,At least 75%,,,,Within a fraction of a second,,Yes,,Neutral,Agree,Neutral,Strongly Agree,,,"For the web it'll be nice to have an ADT with JS API. I don't think it's worth to integrate it to IDE, better to provide hooks for the developers to include parts of your ADT into their development stack"
65,Yes,Yes,Software Development,,,,,4,Very Good,Norway,2,,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,4,,2,,At least 75%,,1 - 100 Lines of Code,,Within a fraction of a second,,Yes,,Agree,Neutral,Neutral,Agree,,,
67,Yes,Yes,Software Development,,,,,18,Good,Russia,2,,Rarely,Sometimes,All the time,Sometimes,All the time,Sometimes,,,3,,5,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Disagree,Neutral,Agree,To locate potential problems and understand why debugging tool think it’s a bug. Sometimes I want to disable some reports based on rationales not suitable for me,,
68,Yes,Yes,Software Development,,Project Management,,,7,Very Good,Germany,1,,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,,,3,4,,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Agree,Neutral,Strongly Agree,,,
69,Yes,Yes,Software Development,,,,,6,Very Good,United States,2,,Never,Sometimes,All the time,Sometimes,All the time,Sometimes,1,2,3,4,5,3,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Disagree,Neutral,Agree,"I need to know why the debugger considers code faulty, otherwise I will consider it a false positive and ignore. Not providing a rationale also means I have to investigate code that might be a false positive, which is a waste of my time.",,Would really need to see this in action.
70,Yes,Yes,,,,Other,data analysis,4,Good,Peru,2,,Sometimes,All the time,All the time,All the time,All the time,All the time,1,,,,,2,,At least 5%,,1 - 1000 Lines of Code,,&lt; a day,,Yes,,Agree,Agree,Neutral,Neutral,,,
71,Yes,Yes,Software Development,,,,,15,Very Good,United States,2,,Never,Rarely,All the time,Sometimes,Sometimes,All the time,,,,4,,2,,At least 20%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Neutral,Agree,Disagree,,debugging needs to be fast and efficient,
74,Yes,Yes,Software Development,,Project Management,,,10,Very Good,Germany,2,,Sometimes,Sometimes,All the time,All the time,All the time,All the time,1,,3,,5,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; a day,,Yes,,Agree,Neutral,Disagree,Strongly Agree,,,"Sounds like magic, I'll be interested to hear more about this research."
75,Yes,Yes,Software Development,Software Testing,,,,7,Very Good,Canada,1,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1,2,3,4,5,2,,At least 90%,,"1 - 1000,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Neutral,Agree,Neutral,,,
76,No,Yes,Software Development,,,,,5,Good,Germany,2,,Sometimes,Rarely,All the time,All the time,All the time,Sometimes,,,,,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,Within a fraction of a second,,Yes,,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,,,
77,Yes,Yes,Software Development,,,,,3,Good,Romania,2,,Sometimes,Sometimes,Sometimes,All the time,Sometimes,Rarely,,,3,4,,2,,At least 20%,,1 - 100 Lines of Code,,&lt; 1 minute,,Yes,,Neutral,Agree,Agree,Neutral,,,
78,Yes,Yes,Software Development,,,,,15,Very Good,Norway,3,,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,,,,4,,3,,Other,95%,"1 - 100,000 Lines of Code",,&lt; 1 hour,,Yes,,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,,,An automatic debugging tool shall integrate with continuous integration frameworks such as Jenkins or TravisCI.
79,Yes,Yes,Software Development,Software Testing,,,,4.5,Very Good,United States,1,,Never,Sometimes,Sometimes,Rarely,All the time,All the time,1,2,3,4,5,1,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Neutral,Agree,Agree,Agree,,,"If I'm using them on command, then I want them to show results in less than a minute.  If I run them with continuous integration with automatic bug reporting, they can take up to an hour."
80,Yes,Yes,Software Development,Software Testing,,,,6,Very Good,United States,2,,Never,All the time,Sometimes,Rarely,All the time,All the time,,,3,4,5,2,,At least 90%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Agree,Disagree,Agree,,,Question 10 is confusing.
81,Yes,Yes,Software Development,,,,,30,Very Good,United States,2,,Rarely,All the time,All the time,Sometimes,All the time,Sometimes,,,,,5,1,,At least 75%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Neutral,Disagree,Strongly Agree,,,"The tooling around many languages, including the JVM, is so powerful these days that unless you can return a result over 1M LoC in &lt;1 minute, you will find that existing techniques can discover the bug faster than you can.  The question is: What class of errors can be discovered by automated debugging? If it's reference errors, SEGV, etc, then we have garbage collection to solve that. We also have visualvm, YJP ,etc. If it's type errors, then we have strict typed compilers, as required for the job (Java, Spark, Coq, etc). A lot of automated debugging can be done by putting assertions into code, as modern processors can frequently evaluate an assertion on registers faster than they can read memory. If we're going to be purely statistical rather than analytic, then there's always gatech tarantula - your questions above make me wonder whether you are going to reinvent tarantula. The questions above suggest that (a) I need to construct a failing test to find this result, and (b) that unit test did not ALREADY localize the bug - remember, it's a unit test.  I worry that you're only left with mathematical/structural errors in code, (mis)application of design patterns, etc, which are clearly beyond the scope of automated diagnosis.  My daily codebase is 500K LoC. Anything smaller than 30K barely needs tooling - you can write 30K lines fairly successfully even in python or perl.  The most useful tools to me at the moment are static analysis tools. Stricter compilers, abstract interpretation, better type systems, dataflow analysis, etc. None of these are driven from test failures - abstract interpretation is much more powerful than test.  You should integrate with gradle. Forget the IDEs. When you have a large number of developers and a CI system, the point of contact with test failures is NOT the IDE."
82,Yes,Yes,Software Development,,,,,12,Good,United Kingdom,2,,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,,,3,4,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Neutral,Disagree,Neutral,,,
83,Yes,Yes,Software Development,,Project Management,,,5,Very Good,Germany,1,,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,1,,,,,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Agree,Neutral,Disagree,Agree,,,
84,Yes,Yes,Software Development,Software Testing,,,,10,Very Good,United States,,,All the time,Rarely,Sometimes,Sometimes,All the time,Rarely,,,,4,5,2,,At least 90%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Disagree,Strongly Disagree,Agree,,,
85,Yes,Yes,Software Development,,,,,4.8,Good,Colombia,2,,Sometimes,Sometimes,All the time,All the time,All the time,Sometimes,1,,3,,,3,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Agree,Neutral,Agree,Agree,,,
86,Yes,Yes,Software Development,Software Testing,,,,1,Very Good,United States,2,,Rarely,Sometimes,All the time,Sometimes,Sometimes,Sometimes,,,3,,,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Agree,Neutral,Strongly Agree,,,
87,Yes,Yes,Software Development,Software Testing,Project Management,,,7,Very Good,Canada,2,,Never,Rarely,All the time,Sometimes,Sometimes,All the time,,2,3,,5,2,,At least 90%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Strongly Disagree,,,"Because no rationale would make us wonder if the tool has any valid reason for tagging a block of code in the first place; it would be easier to dismiss as a false positive with no rationale, which would lead to high abandonment rates IMO.",,
88,Yes,Yes,Software Development,Software Testing,,,,15 years,Very Good,United States,2,,Never,Sometimes,Sometimes,Rarely,Sometimes,All the time,1,,,4,5,2,,At least 90%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Neutral,Disagree,Strongly Agree,,,
89,No,Yes,Software Development,,Project Management,,,3,Good,Netherlands,2,,Never,Rarely,Sometimes,Rarely,All the time,Sometimes,,,3,4,5,3,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Agree,Strongly Agree,Agree,,,
90,Yes,Yes,Software Development,,,,,5,Very Good,United States,2,,Rarely,Sometimes,All the time,Sometimes,Sometimes,Sometimes,,,3,4,5,2,,At least 75%,,"1 - 100,000 Lines of Code",,Other,< 3 minutes,Yes,,Agree,Disagree,Agree,Agree,,,
91,Yes,Yes,Software Development,,,,,8,Very Good,Canada,2,,Sometimes,All the time,All the time,All the time,,All the time,1,2,3,4,5,3,,At least 20%,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,,
92,Yes,Yes,Software Development,Software Testing,Project Management,,,20,Very Good,Hong Kong,2,,Never,All the time,Sometimes,Sometimes,Sometimes,Sometimes,,,3,4,,2,,At least 90%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Agree,Strongly Disagree,Strongly Agree,,,
93,Yes,Yes,Software Development,,,,,5,Mediocre,China,2,,All the time,All the time,Sometimes,Rarely,Rarely,Sometimes,,2,,,,2,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,Looking forward to this tool.
94,Yes,No,Software Development,,Project Management,,,6,Good,China,1,,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,1,2,3,,,1,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 1 hour,,Yes,,Disagree,Agree,Disagree,Agree,,,
95,Yes,Yes,Software Development,Software Testing,,,,10,Very Good,United Kingdom,2,,Never,Sometimes,All the time,Rarely,All the time,Sometimes,,,,4,,2,,At least 90%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Agree,Neutral,Strongly Disagree,Strongly Agree,,,
96,Yes,Yes,Software Development,,,,,6,Good,Russia,2,,Rarely,Sometimes,All the time,All the time,All the time,Sometimes,,2,3,,,3,,At least 20%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Agree,Neutral,Agree,Agree,,,Should have ability to work from a terminal and also should have integration with ci tools.
97,Yes,Yes,Software Development,,,,,15,Good,Italy,2,,All the time,Sometimes,All the time,All the time,All the time,Sometimes,,2,3,,5,2,,At least 50%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Agree,Neutral,Agree,,,
98,Yes,Yes,Software Development,Software Testing,,,,6 years,Mediocre,China,1,,Rarely,All the time,All the time,All the time,All the time,Sometimes,1,2,3,4,5,1,,At least 75%,,"1 - 1000,000 Lines of Code",,Within a fraction of a second,,Yes,,Strongly Agree,Strongly Agree,Agree,Agree,,,"This questionnaire seems a little meaningless to me.  I'm a professional software engineer, I prefer design driven development, and providing an acceptable test cases coverage."
100,Yes,Yes,Software Development,Software Testing,Project Management,,,15,Very Good,United States,2,,Rarely,Rarely,Sometimes,Sometimes,Sometimes,All the time,,,3,4,5,2,,At least 90%,,"1 - 1000,000 Lines of Code",,&lt; 1 hour,,Yes,,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,The tool must be able to explain why a particular area is of concern for an experienced developer to properly evaluate the tools analysis.,,
101,Yes,Yes,Software Development,,,,,10,Very Good,Canada,2,,Never,Rarely,Sometimes,Rarely,Sometimes,All the time,,,3,,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Neutral,Agree,Strongly Disagree,Strongly Agree,,,"False positives are worst than false negatives in my opinion. That is, if the tool tells me where the bug is but that's not actually true, that annoys me greatly. On the other hand, if the tool only tells me where the bug is when it's sure (and often cannot tell me anything), then it's worth using because it's not wasting my time and it's occasionally saving me some time."
102,Yes,No,Software Development,Software Testing,,,,1,Very Good,United States,2,,Sometimes,All the time,Sometimes,Sometimes,Sometimes,Sometimes,,,,4,5,1,,At least 90%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Neutral,Agree,Neutral,,,"I'm pretty comfortable with the debugging so far so I don't really see a point in this research yet. But I'll be happy to adopt it if you can proof it useful (well, pretty sure everyone does)."
103,Yes,,Software Development,,,,,5,Very Good,United States,2,,Sometimes,Sometimes,All the time,Sometimes,All the time,All the time,,,3,4,5,1,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,,,
104,Yes,Yes,Software Development,,,,,10,Very Good,Singapore,2,,Never,All the time,All the time,Sometimes,Sometimes,Rarely,,2,3,,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Disagree,Strongly Disagree,Agree,Sanity check the tool before investigating further,,Please support JavaScript
105,No,Yes,Software Development,,,,,2,Good,China,1,,All the time,Sometimes,Sometimes,Sometimes,All the time,All the time,,2,3,,5,3,,At least 75%,,1 - 100 Lines of Code,,&lt; 1 minute,,Yes,,Strongly Agree,Agree,Neutral,Agree,,,
106,Yes,Yes,Software Development,Software Testing,Project Management,,,8.5,Very Good,France,2,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,All the time,,,3,,,2,,At least 75%,,"1 - 1000,000 Lines of Code",,&lt; 30 minutes,,Yes,,Agree,Agree,Agree,Neutral,,,
2,Yes,No,Software Development,Software Testing,Project Management,,,4,Very Good,Singapore,3,,All the time,Sometimes,All the time,All the time,All the time,All the time,1,2,3,,5,1,,,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Strongly Agree,Neutral,Agree,Neutral,,,
3,Yes,Yes,Software Development,,Project Management,,,3years,Good,Sri Lanka,1,,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,,2,,,,2,,At least 75%,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Agree,Disagree,Agree,Neutral,,,
4,Yes,Yes,Software Development,,,,,6,Good,Sri Lanka,1,,Sometimes,Sometimes,All the time,Sometimes,All the time,Sometimes,,,3,,,2,,At least 75%,,1 - 100 Lines of Code,,&lt; 1 minute,,Yes,,Agree,Agree,Strongly Agree,Agree,,,
5,Yes,No,Software Development,,,,,7.5,Very Good,Sri Lanka,1,,All the time,All the time,Sometimes,Sometimes,Sometimes,Sometimes,,,3,,,3,,At least 50%,,"1 - 10,000 Lines of Code",,Other,< 5 minutes,Yes,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
6,Yes,No,Software Development,,,,,4,Good,India,1,,Sometimes,All the time,All the time,Sometimes,All the time,Sometimes,1,2,3,4,,3,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Agree,Strongly Agree,Neutral,,,
7,Yes,Yes,Software Development,,,,,3,Good,,1,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,,,1 - 1000 Lines of Code,,&lt; 1 minute,,,,Agree,Agree,Agree,Agree,,,
8,Yes,Yes,Software Development,,,,,4,Good,Singapore,1,,Rarely,Sometimes,All the time,All the time,All the time,All the time,,,3,,5,2,,At least 50%,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Agree,Neutral,Strongly Agree,Agree,,,
9,No,Yes,Software Development,Software Testing,,,,1,Good,Sri Lanka,2,,All the time,All the time,Sometimes,Sometimes,Sometimes,Rarely,,,,,5,,,At least 50%,,"1 - 10,000 Lines of Code",,,,Yes,,Agree,Neutral,Strongly Agree,Agree,,,
10,Yes,No,Software Development,Software Testing,Project Management,,,6,Very Good,United States,1,,All the time,Rarely,All the time,Sometimes,All the time,Sometimes,,,,,5,1,,At least 5%,,1 - 1000 Lines of Code,,&lt; 30 minutes,,Yes,,Neutral,Agree,Strongly Agree,Disagree,,Will be practiacally impossible to go back and forth from the IDE just for debugging ,
11,Yes,No,Software Development,Software Testing,Project Management,,,3,Very Good,Canada,1,,Rarely,All the time,All the time,Sometimes,All the time,Sometimes,,2,3,,,3,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,No,Since i already have one and to use another would require training time and time to get used to it ,Agree,Neutral,Agree,Neutral,,,
12,Yes,No,Software Development,,Project Management,,,5,Very Good,United States,1,,Sometimes,Sometimes,All the time,All the time,Sometimes,All the time,1,2,3,4,5,1,,Other,100$,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Neutral,Disagree,Agree,,,
13,Yes,No,Software Development,,Project Management,,,5,Mediocre,India,1,,All the time,All the time,Rarely,Sometimes,Sometimes,Rarely,,,,,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,,,
14,Yes,No,Software Development,Software Testing,,,,3,Good,India,2,,Sometimes,Sometimes,All the time,All the time,Sometimes,All the time,1,,,,,2,,At least 20%,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Strongly Agree,Strongly Agree,Agree,Agree,,,
15,Yes,Yes,Software Development,Software Testing,,,,4,Very Good,United States,2,,Sometimes,Sometimes,All the time,,All the time,,,,3,,5,1,,At least 90%,,"1 - 1000,000 Lines of Code",,Within a fraction of a second,,Yes,,Disagree,Agree,Neutral,Agree,,,
16,Yes,No,Software Development,,,,,1,Very Good,United States,2,,Rarely,Sometimes,All the time,Sometimes,Sometimes,Never,,,,4,,3,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Neutral,Agree,Neutral,Agree,,,
17,Yes,No,Software Development,,,,,5,Very Good,United States,2,,Sometimes,Sometimes,All the time,Sometimes,All the time,All the time,,,3,,5,2,,At least 90%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,,,
18,Yes,No,Software Development,,,,,2,Very Good,United States,2,,Never,Sometimes,Sometimes,Sometimes,Sometimes,All the time,1,,3,,,3,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Agree,Strongly Agree,Neutral,,,
19,Yes,No,Software Development,,,,,5.2,Good,India,2,,Rarely,,Sometimes,Rarely,Sometimes,Rarely,,,3,4,,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 1 hour,,Yes,,Agree,Strongly Agree,Agree,Agree,,,
20,Yes,No,Software Development,,,,,1,Good,United States,2,,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,,,,4,,2,,At least 75%,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Agree,Neutral,Agree,Neutral,,,
21,Yes,No,Software Development,,,,,3,Very Good,United States,2,,Never,Rarely,Sometimes,Sometimes,All the time,Sometimes,,,3,4,5,1,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Neutral,Disagree,Agree,,,
22,Yes,No,Software Development,,,,,2.5,Very Good,United States,1,,Never,Sometimes,All the time,Sometimes,Sometimes,All the time,1,2,3,4,5,2,,At least 90%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Agree,Agree,Agree,,,
23,No,No,Software Development,,,,,3.5,Good,Canada,2,,Never,Rarely,Sometimes,Rarely,Never,Rarely,1,,,,,2,,At least 90%,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Agree,Disagree,Neutral,Agree,,,
24,Yes,Yes,Software Development,Software Testing,,,,2,Very Good,Singapore,1,,Sometimes,Rarely,All the time,Sometimes,All the time,All the time,,,3,,,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Agree,Strongly Agree,Agree,Neutral,,,
25,Yes,No,Software Development,,,,,6,Good,United Kingdom,2,,Never,Rarely,All the time,Sometimes,All the time,Sometimes,,2,3,,5,2,,At least 90%,,1 - 100 Lines of Code,,&lt; 1 minute,,Yes,,Agree,Neutral,Agree,Neutral,,,
26,Yes,No,Software Development,,,,,3,Good,United States,1,,Rarely,All the time,Sometimes,Sometimes,Sometimes,All the time,,,3,,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Agree,Strongly Agree,Agree,Neutral,,,
27,Yes,Yes,Software Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Yes,Yes,Software Development,,,,,5,Good,China,1,,Sometimes,Never,All the time,All the time,Rarely,All the time,,,,,5,2,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Agree,Neutral,Agree,,,
29,Yes,No,Software Development,,,,,3.5,Mediocre,Japan,1,,Sometimes,All the time,All the time,Sometimes,Never,All the time,,,,4,,3,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 1 hour,,Yes,,Strongly Agree,Neutral,Disagree,Strongly Agree,,,
30,Yes,Yes,Software Development,,,,,3,Mediocre,Japan,1,,All the time,All the time,,All the time,All the time,All the time,1,2,,,,2,,At least 90%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Agree,Neutral,Agree,Neutral,,,
31,Yes,Yes,Software Development,Software Testing,,,,5,Good,India,2,,Rarely,Sometimes,All the time,All the time,Sometimes,All the time,,,,,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Neutral,Strongly Agree,Neutral,,,
32,No,Yes,Software Development,Software Testing,Project Management,,,3,Very Good,India,2,,All the time,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,1,2,3,4,5,2,,At least 90%,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Strongly Agree,Neutral,Agree,Disagree,,,
33,Yes,Yes,Software Development,,,,,0.5,Very Good,United States,2,,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,All the time,1,,3,,,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Agree,Neutral,Agree,Neutral,,,
34,Yes,Yes,Software Development,Software Testing,,,,5,Very Good,United States,2,,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,2,3,4,5,3,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 1 hour,,Yes,,Agree,Agree,Strongly Agree,Neutral,,,
35,No,Yes,Software Development,,,,,15,Very Good,Germany,2,,Never,Rarely,Sometimes,Sometimes,Sometimes,Rarely,,,,4,,3,,At least 90%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,No,I would probably prefer traditional breakpoint / single stepping debugging watching what the program does. This of course depends on the kind of bugs. If it could find difficult to locate bugs such as concurrency bugs I would immediately adopt it.,Agree,Neutral,Strongly Disagree,Strongly Agree,,,
36,No,No,Software Development,Software Testing,,Other,"Internships, research projects",2,Very Good,United States,2,,Never,Rarely,Sometimes,Rarely,All the time,Sometimes,,,3,,,3,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Disagree,Neutral,Agree,"If I am to trust any tool to do something automatically, especially to help me find bugs, I would like to understand why it's doing it; later, I would also need to provide the fix, so I feel some rationale would also help with that.",,
37,No,No,Software Development,,,,,5,Mediocre,Israel,1,,Never,Rarely,All the time,Rarely,Sometimes,Rarely,,,,4,,2,,At least 20%,,"1 - 10,000 Lines of Code",,Other,Night (12 hours),Yes,,Strongly Agree,Neutral,Disagree,Strongly Agree,,,
